plugin_webdav_download	access_not_authorized	Vous n'avez pas les droits d'acces sur ce fichier. Veuillez contacter un administrateur du projet.
plugin_webdav_download	file_not_available	Erreur interne: le fichier n'est pas disponible. Veuillez contacter l'administrateur du site.
plugin_webdav_download	dont_belong	Le fichier n'appartient pas a la version ou le paquet donnes.
plugin_webdav_download	error_file_size	La taille du fichier depasse 2 GB.
plugin_webdav_common	plugin_not_available	Le plugin WebDAV n'est pas disponible pour ce projet.
plugin_webdav_common	project_not_available	Le projet n'est pas disponible.
plugin_webdav_common	project_access_not_authorized	Vous n'avez pas les droits d'acces sur ce projet. Veuillez contacter un administrateur du projet.
plugin_webdav_common	project_have_no_frs	La livraison de fichier n'est pas activee pour ce projet.
plugin_webdav_common	package_not_available	Le paquet n'est pas disponible.
plugin_webdav_common	package_access_not_authorized	Vous n'avez pas les droits d'acces sur ce paquet. Veuillez contacter un administrateur du projet.
plugin_webdav_common	release_not_available	La version n'est pas disponible.
plugin_webdav_common	release_access_not_authorized	Vous n'avez pas les droits d'acces sur cette version. Veuillez contacter un administrateur du projet.
plugin_webdav_common	authentication_required	Authentification requise.
plugin_webdav_common	wrong_input	Verifiez votre entree.
plugin_webdav_common	hidden	 (cache)
plugin_webdav	descriptor_description	Serveur WebDAV pour la gestion du service de livraison de fichier et du service de documentation.
plugin_webdav	descriptor_name	WebDAV.
plugin_webdav_common	plugin_not_active	Le plugin WebDAV n'est pas active.	
